tag	count	related
boots	350847	
high heels	177977	
sandals	76876	
thigh boots	75299	
sneakers	51819	
knee boots	50657	
loafers	48132	
high heel boots	34355	
mary janes	32485	
cross-laced footwear	28604	
lace-up boots	15179	
ankle boots	14987	
geta	14101	
armored boots	13249	
slippers	11795	
platform footwear	10862	
zouri	7782	
toeless footwear	6954	
uwabaki	6505	
flip-flops	4999	
pumps	4709	
okobo	4530	
strappy heels	4103	
shoe dangle	3353	
flats	3243	
rubber boots	3127	
stiletto heels	2517	
holding shoes	2217	
ankle lace-up	1694	
gladiator sandals	1675	
ballet slippers	1630	
winged footwear	1432	
combat boots	1369	
platform boots	1305	
crocs	1230	
cowboy boots	1157	
pointy footwear	1147	
footwear ribbon	1139	
high tops	1139	
animal slippers	1119	
holding footwear	1073	
converse	896	
wedge heels	752	
dress shoes	669	
adjusting footwear	602	
waraji	423	
spiked boots	399	
putting on footwear	381	
spurs	357	
heel pop	354	
adjusting shoe	333	
removing shoes	302	
tying footwear	296	
cross-laced sandals	288	
shoe loss	215	
oxfords	209	
snow boots	194	
footwear		
high heel sneakers		
kiltie loafers		
kitten heels		
monk shoes		
saddle shoes		
work boots		
