tag	count	related
tattoo	110753	
facial mark	75765	
scar	71630	
ear piercing	60208	
veins	33487	
blood on face	24152	
forehead mark	20009	
arm tattoo	19686	
injury	18342	
shoulder tattoo	13965	
nipple piercing	13147	
whisker markings	12630	
navel piercing	11719	
pubic tattoo	11529	
facial tattoo	10459	
stitches	9249	
leg tattoo	8909	
body markings	8254	
blood on hands	7313	
barbell piercing	7061	
animal ear piercing	6561	
bruise	6148	
stomach tattoo	5666	
scar on arm	5156	
blood from mouth	4650	
bite mark	4320	
scar on chest	4180	
tongue piercing	3807	
cuts	3539	
scar on nose	3537	
back tattoo	3365	
teardrop facial mark	3264	
burn scar	2959	
cross scar	2949	
scratches	2858	
hickey	2739	
barcode tattoo	2651	
flower tattoo	2474	
slap mark	2344	
nose piercing	2338	
star facial mark	2334	
blood stain	2225	
blood from eyes	2212	
veiny arms	2178	
industrial piercing	2152	
lip piercing	2078	
scar on stomach	2061	
tail piercing	2053	
scar on forehead	1984	
multiple piercings	1925	
scar on neck	1911	
heart facial mark	1893	
scar on leg	1796	
multiple scars	1630	
hand tattoo	1616	
crescent facial mark	1552	
star tattoo	1549	
head bump	1514	
full-body tattoo	1473	
blood on arm	1448	
triangle facial mark	1373	
glowing tattoo	1311	
linked piercing	1306	
teardrop tattoo	1305	
winged heart tattoo	1047	
blood on leg	1012	
stitched arm	986	
forehead tattoo	971	
labret piercing	945	
spiked ear piercing	858	
butterfly tattoo	818	
self-harm scar	805	
blood drip	794	
cloud tattoo	758	
red tattoo	757	
circle facial mark	748	
stitched torso	742	
scar on hand	700	
whip marks	683	
tribal tattoo	680	
birthmark	671	
bindi	663	
stitched leg	651	
scar on back	618	
veiny hands	615	
scar on shoulder	607	
scar on tail	607	
flower on chest	579	
dragon tattoo	577	
bite mark on neck	567	
blood on chest	547	
bite mark on shoulder	482	
wing piercing	473	
stitched neck	449	
scars all over	440	
blood in mouth	439	
snake tattoo	434	
burnt	433	
bruised eye	429	
markings	408	
blue blood	403	
hip tattoo	377	
penis piercing	371	
labia piercing	353	
finger tattoo	351	
pink tattoo	350	
spider tattoo	333	
covered piercing	325	
piercing through clothes	324	
corset piercing	295	
plug (piercing)	289	
joestar birthmark	283	
fish tattoo	280	
rope marks	280	
tramp stamp	272	
spike piercing	271	
cross tattoo	266	
black blood	240	
black tears	216	
blood on feet	215	
lipstick mark on leg	213	
green blood	207	
horn piercing	199	
blood on neck	194	
no scar	193	
arm markings	191	
subdermal port	189	
purple blood	176	
bat tattoo	171	
single nipple piercing	162	
areola piercing	152	
bridge piercing	152	
ear birthmark	150	
frenulum piercing	136	
lip ring	129	
piercing hole	119	
collarbone piercing	114	
wrist tattoo	113	
tattoo sleeve	106	
safety pin piercing	103	
